id,tipo,origen,aditivo,clasificación,aditivos_alergicos
E952,¡Peligroso!,Químico o sintético,Ciclamatos,Edulcorante Edulcorantes,"Dont worry, be happy!"
E953,Sospechoso,Químico o sintético,Isolmaltitol,Edulcorante Edulcorantes,"Dont worry, be happy!"
E954,Sospechoso,Químico o sintético,Sacarina,Edulcorante Edulcorantes,"Dont worry, be happy!"
E955,Sospechoso,Químico o sintético,Sucralosa,Edulcorante Edulcorantes,"Dont worry, be happy!"
E957,Sospechoso,Indeterminado,Taumatina,Edulcorante Edulcorantes,"Dont worry, be happy!"
E959,Sospechoso,Químico o sintético,Neohesperidina DC,Edulcorante Edulcorantes,"Dont worry, be happy!"
E960,No nocivo,Vegetal,"Glicósidos de esteviol, Esteviósido, Extracto de Stevia",Edulcorante Edulcorantes,"Dont worry, be happy!"
E965,Sospechoso,Químico o sintético,Maltitol,Edulcorante Edulcorantes,"Dont worry, be happy!"
E966,Sospechoso,Químico o sintético,Lactitol,Edulcorante Edulcorantes,"Warning, this could kill you!"
E967,Sospechoso,Químico o sintético,Xilitol,Edulcorante Edulcorantes,"Dont worry, be happy!"
E968,No nocivo,Químico o sintético,Eritritol,Edulcorante Edulcorantes,"Dont worry, be happy!"
E1000,¡Peligroso!,Animal,Ácido cólico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1105,Sospechoso,Animal,Lisozima (Muramidasa),Conservante Conservantes,"Dont worry, be happy!"
E1200,Sospechoso,Químico o sintético,Polidextrosa,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1400,Sospechoso,Químico o sintético,Dextrina,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1401,Sospechoso,Químico o sintético,Almidón ácido,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1402,Sospechoso,Químico o sintético,Almidón alcalino modificado,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1403,Sospechoso,Químico o sintético,Almidón blanqueado,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1404,Sospechoso,Químico o sintético,Almidón oxidado,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1405,Sospechoso,Químico o sintético,Almidón enzimático,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1410,Sospechoso,Químico o sintético,Fosfato monoalmidón,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1412,Sospechoso,Químico o sintético,Fosfato dialmidón,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1413,Sospechoso,Químico o sintético,Fosfato dialmidón fosfatado,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1414,Sospechoso,Químico o sintético,Fosfato dialmidón acetilado,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1420,Sospechoso,Químico o sintético,Almidón acetilado,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1422,Sospechoso,Químico o sintético,Adipato dialmidón acetilado,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1440,Sospechoso,Químico o sintético,Hidroxipropil almidón,Estabilizante Estabilizantes,"Dont worry, be happy!"
E1442,Sospechoso,Químico o sintético,Fosfato dialmidón hidroxipropilado,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1450,Sospechoso,Químico o sintético,Octenil succinato sódico de almidón,Estabilizante Estabilizantes,"Warning, this could kill you!"
E1518,¡Peligroso!,Químico o sintético,"Gliceril mono, di y tri-acetato de calcio",Estabilizante Estabilizantes,"Dont worry, be happy!"
Default,¡Peligroso!,Indeterminado,Default,Estabilizante Estabilizantes,"Warning, this could kill you!"
