id,tipo,origen,aditivo,clasificación,aditivos_alergicos
E226,Sospechoso,Químico o sintético,"Sulfito de calcio, Sulfito cálcico, Sulfito de Ca",Conservante Conservantes,"Dont worry, be happy!"
E227,Sospechoso,Químico o sintético,"Bisulfito de calcio, Bisulfito cálcico, Bisulfito de Ca",Conservante Conservantes,"Dont worry, be happy!"
E228,¡Peligroso!,Químico o sintético,"Sulfito ácido de potasio, Bisulfito de potasio",Conservante Conservantes,"Dont worry, be happy!"
E230,¡Peligroso!,Químico o sintético,Difenilo,Conservante Conservantes,"Dont worry, be happy!"
E231,¡Peligroso!,Químico o sintético,O-fenifenol,Conservante Conservantes,"Dont worry, be happy!"
E232,¡Peligroso!,Químico o sintético,O-fenilfenolato,Conservante Conservantes,"Dont worry, be happy!"
E233,¡Peligroso!,Químico o sintético,Tiabendazol,Conservante Conservantes,"Dont worry, be happy!"
E234,No nocivo,Químico o sintético,Nisina,Conservante Conservantes,"Dont worry, be happy!"
E235,Sospechoso,Químico o sintético,Natamicina,Conservante Conservantes,"Dont worry, be happy!"
E236,¡Peligroso!,Químico o sintético,Ácido fórmico,Conservante Conservantes,"Dont worry, be happy!"
E237,¡Peligroso!,Químico o sintético,"Formiato de sodio, Formiato sódico, Formiato Na",Conservante Conservantes,"Dont worry, be happy!"
E238,¡Peligroso!,Químico o sintético,"Formiato de calcio, Formiato cálcico, Formiato Ca",Conservante Conservantes,"Dont worry, be happy!"
E239,¡Peligroso!,Químico o sintético,"Hexametileno, Hexametilentetramina, Hexamina, Urotropina, Formamina, HMTA, Hexaformo, Metenamina",Conservante Conservantes,"Dont worry, be happy!"
E240,¡Peligroso!,Químico o sintético,Ácido bórico,Conservante Conservantes,"Dont worry, be happy!"
E241,¡Peligroso!,Químico o sintético,"Tetraborato de potasio, Tetraborato potásico, Tetraborato K",Conservante Conservantes,"Dont worry, be happy!"
E242,Sospechoso,Químico o sintético,Dimetil dicar.,Conservante Conservantes,"Dont worry, be happy!"
E243,No nocivo,Químico o sintético,Etil Lauroil Arginato,Conservante Conservantes,"Dont worry, be happy!"
E249,¡Peligroso!,Químico o sintético,"Nitrito de potasio, Nitrito potásico, Nitrito de K",Conservante Conservantes,"Dont worry, be happy!"
E250,¡Peligroso!,Químico o sintético,"Nitrito de sodio, Nitrito sódico, Nitrito de Na",Conservante Conservantes,"Dont worry, be happy!"
E251,¡Peligroso!,Químico o sintético,"Nitrato de sodio, Nitrato sódico, Nitrato de Na",Conservante Conservantes,"Dont worry, be happy!"
E252,¡Peligroso!,Químico o sintético,"Nitrato de potasio, Nitrato potásico, Nitrato de K",Conservante Conservantes,"Dont worry, be happy!"
E260,No nocivo,Químico o sintético,Ácido acético,Conservante Conservantes,"Warning, this could kill you!"
E261,No nocivo,Químico o sintético,"Acetato de potasio, Acetato potásico, Acetato de K",Conservante Conservantes,"Dont worry, be happy!"
E262,No nocivo,Químico o sintético,"Diacetato de sodio, Diacetato sódico, Diacetato Na",Conservante Conservantes,"Dont worry, be happy!"
E263,No nocivo,Químico o sintético,"Acetato de calcio, Acetato cálcico, Acetato Ca",Conservante Conservantes,"Dont worry, be happy!"
E270,No nocivo,Químico o sintético,Ácido láctico,Conservante Conservantes,"Warning, this could kill you!"
E280,No nocivo,Químico o sintético,Ácido propilo,Conservante Conservantes,"Dont worry, be happy!"
E281,No nocivo,Químico o sintético,"Propionato de sodio, Propionato sódico, Propionato Na",Conservante Conservantes,"Dont worry, be happy!"
E282,No nocivo,Químico o sintético,"Propilo de calcio, Propilo cálcico, Propilo Ca",Conservante Conservantes,"Dont worry, be happy!"
E283,No nocivo,Químico o sintético,"Propionato de potasio, Propionato potásico, Propionato de K",Conservante Conservantes,"Dont worry, be happy!"
E284,¡Peligroso!,Químico o sintético,Ácido bórico,Conservante Conservantes,"Dont worry, be happy!"
E285,¡Peligroso!,Químico o sintético,"Tetraborato de potasio, Tetraborato potásico, Tetraborato K",Conservante Conservantes,"Dont worry, be happy!"
E290,No nocivo,Químico o sintético,"Dióxido de carbono, Anhídrido carbónico, Gas carbónico",Conservante Conservantes,"Dont worry, be happy!"
E296,Sospechoso,Químico o sintético,Ácido málico,Conservante Conservantes,"Dont worry, be happy!"
E297,Sospechoso,Químico o sintético,Ácido fumárico,Conservante Conservantes,"Dont worry, be happy!"
E300,No nocivo,Químico o sintético,Ácido ascórbico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E301,No nocivo,Químico o sintético,"Ascorbato de sodio, Ascorbato sódico, Ascorbato de Na",Antioxidante Antioxidantes,"Dont worry, be happy!"
E302,No nocivo,Químico o sintético,"Ascorbato de calcio, Ascorbato cálcico, Ascorbato Ca",Antioxidante Antioxidantes,"Dont worry, be happy!"
E303,No nocivo,Químico o sintético,Diácido ascórbico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E304,No nocivo,Químico o sintético,Palmitato Ascorbilo,Antioxidante Antioxidantes,"Dont worry, be happy!"
E306,No nocivo,Vegetal,Extracción Vegetal,Antioxidante Antioxidantes,"Dont worry, be happy!"
E307,No nocivo,Químico o sintético,Alfa-Tocoferol,Antioxidante Antioxidantes,"Dont worry, be happy!"
E308,No nocivo,Químico o sintético,Gamma-Tocoferol,Antioxidante Antioxidantes,"Dont worry, be happy!"
E309,No nocivo,Químico o sintético,Delta-Tocoferol,Antioxidante Antioxidantes,"Dont worry, be happy!"
E310,Sospechoso,Químico o sintético,Galato de Propílico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E311,¡Peligroso!,Químico o sintético,"Galato de octilo, Gelato de octilo",Antioxidante Antioxidantes,"Dont worry, be happy!"
E312,No nocivo,Químico o sintético,"Galato dodecilo, Gelato dodecilo, Galato de laurilo",Antioxidante Antioxidantes,"Dont worry, be happy!"
E315,Sospechoso,Químico o sintético,Ácido eritórbico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E316,Sospechoso,Químico o sintético,"Eritorbato de sodio, Eritorbato sódico, Eritorbato Na",Antioxidante Antioxidantes,"Dont worry, be happy!"
E320,¡Peligroso!,Químico o sintético,"Butilhidroxianisol, Hidroxianisol butilado",Antioxidante Antioxidantes,"Dont worry, be happy!"
E321,¡Peligroso!,Químico o sintético,"Butil hidroxitolueno, BHT",Antioxidante Antioxidantes,"Dont worry, be happy!"
E322,No nocivo,Químico o sintético,Lecitina-N,Antioxidante Antioxidantes,"Dont worry, be happy!"
E325,No nocivo,Indeterminado,"Lactato de sodio, Lactato sódico, Lactato de Na",Antioxidante Antioxidantes,"Warning, this could kill you!"
E326,No nocivo,Indeterminado,"Lactato de potasio, Lactato potásico, Lactato de K",Antioxidante Antioxidantes,"Warning, this could kill you!"
E327,No nocivo,Indeterminado,"Lactato de calcio, Lactato cálcico, Lactato Ca",Antioxidante Antioxidantes,"Warning, this could kill you!"
E330,Sospechoso,Químico o sintético,Ácido cítrico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E331,Sospechoso,Químico o sintético,"Citrato de sodio, Citrato sódico, Citrato de Na",Antioxidante Antioxidantes,"Dont worry, be happy!"
E332,Sospechoso,Químico o sintético,"Citrato de potasio, Citrato potásico, Citrato de K",Antioxidante Antioxidantes,"Dont worry, be happy!"
E333,Sospechoso,Químico o sintético,"citrato de calcio, Citrato cálcico, Citrato Ca",Antioxidante Antioxidantes,"Dont worry, be happy!"
E334,No nocivo,Químico o sintético,Ácido tartárico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E335,No nocivo,Químico o sintético,"Tartrato de sodio, Tartrato sódico, Tartrato de Na",Antioxidante Antioxidantes,"Dont worry, be happy!"
E336,No nocivo,Químico o sintético,"Tartrato de potasio, Tartrato potásico, Tartrato de K",Antioxidante Antioxidantes,"Dont worry, be happy!"
E337,No nocivo,Químico o sintético,Tartrato...,Antioxidante Antioxidantes,"Dont worry, be happy!"
E338,Sospechoso,Químico o sintético,Ácido ortofosfórico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E339,Sospechoso,Químico o sintético,Sales ortofosfóricas,Antioxidante Antioxidantes,"Dont worry, be happy!"
E340,Sospechoso,Químico o sintético,Sales ortofosfóricas,Antioxidante Antioxidantes,"Dont worry, be happy!"
E341,No nocivo,Químico o sintético,Ácido ortofosfórico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E380,¡Peligroso!,Químico o sintético,Citrato triamónico,Antioxidante Antioxidantes,"Dont worry, be happy!"
E385,¡Peligroso!,Químico o sintético,"EDTA, Ácido etilendiaminotetraacético, Etilenodiamino tetracetato cálcico disódico, Tetra acetato disódico de etilendiamina",Antioxidante Antioxidantes,"Dont worry, be happy!"
E400,No nocivo,Vegetal,Ácido algínico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E401,No nocivo,Indeterminado,"Alginato de sodio, Alginato sódico, Alginato de Na",Estabilizante Estabilizantes,"Dont worry, be happy!"
E402,No nocivo,Indeterminado,"Alginato de potasio, Alginato potásico, Alginato de K",Estabilizante Estabilizantes,"Dont worry, be happy!"
E403,No nocivo,Indeterminado,Alginato...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E404,No nocivo,Indeterminado,"Alginato de calcio, Alginato cálcico, Alginato de Ca",Estabilizante Estabilizantes,"Dont worry, be happy!"
E405,No nocivo,Indeterminado,"Alginato de propilenglicol, Alginato de propilenoglicol, PGA",Estabilizante Estabilizantes,"Dont worry, be happy!"
E406,No nocivo,Indeterminado,Agar-Agar,Estabilizante Estabilizantes,"Dont worry, be happy!"
E407,¡Peligroso!,Indeterminado,"Carragenato, Carragenano, Carragenina",Estabilizante Estabilizantes,"Dont worry, be happy!"
E408,No nocivo,Indeterminado,Furcelerán,Estabilizante Estabilizantes,"Dont worry, be happy!"
E410,No nocivo,Indeterminado,Goma garrofin,Estabilizante Estabilizantes,"Dont worry, be happy!"
E411,No nocivo,Indeterminado,Harina tamari,Estabilizante Estabilizantes,"Dont worry, be happy!"
E412,No nocivo,Indeterminado,Goma guar,Estabilizante Estabilizantes,"Dont worry, be happy!"
E413,No nocivo,Indeterminado,Goma tragácica,Estabilizante Estabilizantes,"Dont worry, be happy!"
E414,No nocivo,Indeterminado,Goma arábica,Estabilizante Estabilizantes,"Dont worry, be happy!"
E415,Sospechoso,Vegetal,"Goma xantana, Xantano",Estabilizante Estabilizantes,"Dont worry, be happy!"
E416,No nocivo,Indeterminado,Goma K.,Estabilizante Estabilizantes,"Dont worry, be happy!"
E417,No nocivo,Indeterminado,Goma tara,Estabilizante Estabilizantes,"Dont worry, be happy!"
E418,No nocivo,Indeterminado,Goma gellan,Estabilizante Estabilizantes,"Dont worry, be happy!"
E420,No nocivo,Químico o sintético,Sorbitol,Edulcorante Edulcorantes,"Dont worry, be happy!"
E421,No nocivo,Químico o sintético,Manitol,Edulcorante Edulcorantes,"Dont worry, be happy!"
E422,No nocivo,Químico o sintético,Glicerina,Estabilizante Estabilizantes,"Dont worry, be happy!"
E431,Sospechoso,Químico o sintético,Sorbitan,Estabilizante Estabilizantes,"Dont worry, be happy!"
E436,Sospechoso,Químico o sintético,Sorbitan,Estabilizante Estabilizantes,"Dont worry, be happy!"
E440,No nocivo,Vegetal,Pectina,Estabilizante Estabilizantes,"Dont worry, be happy!"
E440a,No nocivo,Vegetal,Pectinas,Estabilizante Estabilizantes,"Dont worry, be happy!"
E440b,Sospechoso,Indeterminado,Pectina amidada,Estabilizante Estabilizantes,"Dont worry, be happy!"
E442,Sospechoso,Químico o sintético,Fosfátidos...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E444,Sospechoso,Químico o sintético,Acetato isobutírico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E445,Sospechoso,Químico o sintético,Éter glicólico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E450,¡Peligroso!,Químico o sintético,Difosfatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E450a,¡Peligroso!,Químico o sintético,Difosfatos disódicos pirofosfatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E451,¡Peligroso!,Químico o sintético,Trifosfatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E452,¡Peligroso!,Químico o sintético,Polifosfatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E460,No nocivo,Químico o sintético,Celulosa,Estabilizante Estabilizantes,"Dont worry, be happy!"
E461,No nocivo,Indeterminado,Metil celulosa,Estabilizante Estabilizantes,"Dont worry, be happy!"
E462,No nocivo,Químico o sintético,Etilcelulosa,Estabilizante Estabilizantes,"Dont worry, be happy!"
E463,Sospechoso,Químico o sintético,Hidroxiprolina,Estabilizante Estabilizantes,"Dont worry, be happy!"
E464,No nocivo,Químico o sintético,Hidroxi...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E465,No nocivo,Químico o sintético,Metiletilcelulosa,Estabilizante Estabilizantes,"Dont worry, be happy!"
E466,Sospechoso,Químico o sintético,Carboximetilcelulosa de Sodio,Estabilizante Estabilizantes,"Dont worry, be happy!"
E470,Sospechoso,Químico o sintético,Sales de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E470b,Sospechoso,Químico o sintético,Sales de magnesio de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E471,Sospechoso,Químico o sintético,Mono y Diglicéridos de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E472,Sospechoso,Químico o sintético,Ésteres de Ácidos Grasos,Estabilizante Estabilizantes,"Warning, this could kill you!"
